ID	Marmota himalayana	Marmota sibirica	Marmota caudata	Marmota baibacina
C1_34983	0	0	1332	9
C1_34994	52	52	154	34
C1_35022	27	48	3144	42
C1_35071	250	241	514	132
C1_35095	7	53	91	14
C1_35097	0	0	70	3
C1_35102	0	32	652	5
C1_35148	0	0	241	145
C1_35157	2	485	456	189
C1_35167	0	1	201	6
C1_35206	57	16	84	3
C1_35215	0	0	151	4
C1_35226	0	0	112	5
C1_35245	7	0	132	54
C1_35259	4	7	52	15
C1_35262	10	2	88	13
C1_35268	168	66	780	428
C1_35375	315	584	696	106
C1_35393	0	0	93	0
C1_35433	30	28	2318	22
C1_35462	0	7	638	50
C1_35605	0	0	604	2
C1_35624	0	0	113	3
C1_35652	0	0	6970	4
C1_35654	21	0	243	63
C1_35735	0	0	380	16
C1_35758	5	4	97	2
C1_35797	4	89	835	58
C1_35841	0	71	57	2
C1_35920	0	22	236	58
C1_35952	1493	2123	8510	6376
C1_35965	0	0	101	6
C1_35969	0	0	129	2
C1_35985	241	125	1371	149
C1_36006	1	4	198	0
C1_36008	3	12	905	56
C1_36012	0	0	61	0
C1_36069	0	0	377	5
C1_36084	14	3	201	26
C1_36117	4	0	170	0
C1_36184	14	12	453940	9
C1_36215	0	1	157	111
C1_36264	3	3	181	35
C1_36280	0	14	1128	51
C1_36294	0	2	640	4
C1_36433	18	36	84	2
C1_36434	0	4	94	14
C1_36441	87	148	781	40
C1_36476	0	1	792	18
C1_36485	0	8	1890	22
C1_36511	3	1	412	1
C1_36554	15	4	138	25
C1_36613	49	15	164	26
C1_36653	4	16	3128	142
C1_36800	1	5	16590	28
C1_36810	2	2	5197	170
C1_36862	61	167	291	16
C1_36867	0	1	250	47
C1_36892	0	3	90	4
C1_36906	244	111	165	72
C1_36919	0	0	328	29
C1_36930	274	35	395	205
C1_37010	23	0	1891	0
C1_37136	2	15	357	94
C1_37177	20	8	168	44
C1_37296	788	158	1208	196
C1_37457	0	10	1126	0
C1_37471	0	0	8603	0
C1_37477	41	176	361	112
C1_37502	0	0	123	0
C1_37506	0	9	263	0
C1_37528	0	0	645	136
C1_37716	0	1	241	20
C1_37784	29	69	166	39
C1_37865	0	3	154	22
C1_38003	48	59	382	408
C1_38019	27	370	3736	233
C1_38049	563	688	3138	1874
C1_38125	79	127	352	103
C1_38209	4	16	570	231
C1_38225	0	0	66	11
C1_38226	0	0	393	17
C1_38248	0	0	251	49
C1_38249	13	115	89	4
C1_38350	36	7	1724	292
C1_38365	7	167	201	25
C1_38366	85	111	237	168
C1_38415	9	10	606	5
C1_38447	111	34	272	19
C1_38516	79	182	1204	1
C1_38567	627	29	1209	170
C1_38571	0	0	72	0
C1_38573	161	96	301	201
C1_38712	631	14	1970	292
C1_38717	0	0	99	0
C1_38829	88	51	282	79
C1_38846	6	6	134	2
C1_38855	0	6	157	6
